m,w,d,wdRatio,SCcomp,SCtheor,theta1,theta2,theta3,theta4,theta5
6,15.9,53,0.3,0.892134222222222,0.649230484541327,27.2527423112039,23.1833939155303,46.5332785350321,44.0562663411564,25.8166707044493
5,23.2,58,0.4,0.923087111111111,0.499942724709524,42.3343114878641,6.56005437146074,23.3958394293891,35.4542838243202,0
4,2.6,52,0.05,0.215745333333333,0.212170880069836,50.051343663414,0.938681561791621,51.8226519033519,0,0
2,16.5,55,0.3,0.513089777777778,0.493538290724796,13.0796279250092,0,0,0,0
4,2.85,57,0.05,0.161854666666667,0.212170880069836,35.9751328873688,3.35856944326743,3.38058111260141,0,0
2,2.7,54,0.05,0.105180888888889,0.109934441829515,49.9332885169691,0,0,0,0
5,14.75,59,0.25,0.762603111111111,0.736556004204932,5.86187508968659,54.4831321912062,6.48100164820554,31.0198054858167,0
2,12.5,50,0.25,0.451643111111111,0.438959968979379,46.0009199172892,0,0,0,0
6,24,60,0.4,0.925211111111111,0.230427097370068,30.3079861079294,16.2852974650509,6.04503071527414,30.4709298497722,35.1365475421127
5,2.85,57,0.05,0.244402666666667,0.260402347844048,31.0187408823728,10.2628810515268,56.3134718599105,35.4289906285543,0
4,22.8,57,0.4,0.863470222222222,0.646290294621859,27.1167425556231,50.3818452431801,31.9574101484608,0,0
4,16.2,54,0.3,0.769487555555556,0.709948452238572,14.3574363716127,34.7354095475456,52.0132232803505,0,0
4,2.7,54,0.05,0.198939111111111,0.212170880069836,18.011064072834,24.0832112288696,50.0018138071881,0,0
4,10.6,53,0.2,0.604206666666667,0.623452789007166,8.41532155616666,15.6078116467464,5.20890605195002,0,0
4,7.95,53,0.15,0.509953333333333,0.523897274573418,25.4915047022775,7.15243556527722,29.7040154280275,0,0
5,5.8,58,0.1,0.418062222222222,0.464259122186565,4.44537461165561,23.6330056189018,0.203647377858445,13.2406135159814,0
2,5.1,51,0.1,0.221917333333333,0.208797659642211,16.0845599474026,0,0,0,0
2,5.6,56,0.1,0.216523111111111,0.208797659642211,54.0634743409635,0,0,0,0
6,5.5,55,0.1,0.534624888888889,0.534016935856293,22.5606669554853,31.4268022179522,15.8923556129154,4.10143322824975,26.1796246488062
2,3,60,0.05,0.127967111111111,0.109934441829515,25.835791191565,0,0,0,0
6,17.5,50,0.35,0.928198666666667,0.479529637748512,40.8023184276083,42.357045254933,38.7077271964429,33.1385906704638,13.0865237869968
5,5.4,54,0.1,0.478833333333333,0.464259122186565,53.4557292615417,51.3826144636956,24.1460129888066,19.0811470498041,0
5,24,60,0.4,0.923299555555556,0.499942724709524,35.4956645344463,19.9542844401331,51.1838177525952,26.5438735824699,0
6,2.75,55,0.05,0.274135111111111,0.306709314720961,42.9898407902629,10.7581106293074,20.1919755480638,11.262776914516,19.3156309909754
4,12.5,50,0.25,0.710852888888889,0.685469848228883,33.1639279907366,16.48868429025,14.4901045040467,0,0
3,6,60,0.1,0.301894666666667,0.301649484079524,56.139682530996,49.1228662324946,0,0,0
5,5.3,53,0.1,0.424870666666667,0.464259122186565,11.3273983584963,0.0719038104026049,18.9851708239526,41.9770191838233,0
5,13.5,54,0.25,0.716827555555556,0.736556004204932,17.2456360489526,30.0995464048014,45.6927711401788,45.7444829273228,0
4,17.1,57,0.3,0.775969333333333,0.709948452238572,7.39317109947037,30.263871605566,20.835678763298,0,0
2,5.2,52,0.1,0.227816,0.208797659642211,40.3362142474457,0,0,0,0
4,15.6,52,0.3,0.734354666666667,0.709948452238572,0.585518993109571,31.9369842636533,16.7635179151779,0,0
6,21.6,54,0.4,0.959690222222222,0.230427097370068,1.49131403069233,40.2862077943476,50.2302381226233,58.2899782986758,3.41597312611488
4,14.25,57,0.25,0.664763111111111,0.685469848228883,43.1659651557599,39.0024451155235,43.6148730547591,0,0
3,12.75,51,0.25,0.568316444444444,0.586271169820366,3.45926167289233,58.7859134385592,0,0,0
3,15,60,0.25,0.557857777777778,0.586271169820366,11.1466958045147,11.5823889586216,0,0,0
3,21.6,54,0.4,0.788170666666667,0.669469807107075,16.3930024799978,9.11682479081065,0,0,0
3,7.65,51,0.15,0.419291555555556,0.418903718043597,26.1024430737376,5.49079003275665,0,0,0
5,2.8,56,0.05,0.248868,0.260402347844048,47.3837914815457,14.1220063890522,26.8811828078431,34.1614909970959,0
2,11.4,57,0.2,0.379244444444444,0.373310423217143,13.2759438076263,0,0,0,0
6,23.6,59,0.4,0.952648888888889,0.230427097370068,30.3599673534329,16.7325366687138,44.7970333096921,14.2158230467722,57.4407168971474
5,12.75,51,0.25,0.775733333333333,0.736556004204932,5.42080428859347,15.3157321586153,51.5142318755526,54.6640232038676,0
5,15.6,52,0.3,0.820490222222222,0.714230484541327,34.5632073792813,48.6376863004763,24.2306021030439,59.3063560319847,0
2,8.25,55,0.15,0.297088444444444,0.296589653438087,3.63638199409454,0,0,0,0
5,13.75,55,0.25,0.787258222222222,0.736556004204932,49.7989459219917,51.5255420443082,47.3417353988369,19.0699832235737,0
4,17.85,51,0.35,0.817736888888889,0.69688860103623,6.58454211563422,16.1930198222641,31.4782407237787,0,0
6,15.9,53,0.3,0.893878666666667,0.649230484541327,17.4874276588636,51.0214402424773,54.6988454404712,38.3565688365638,15.3222178766666
2,19.6,56,0.35,0.584781333333333,0.537045388453393,56.8865241237613,0,0,0,0
2,13.25,53,0.25,0.459054222222222,0.438959968979379,49.6639304068958,0,0,0,0
2,10.8,54,0.2,0.366235111111111,0.373310423217143,49.5944387425659,0,0,0,0
5,5.3,53,0.1,0.483930222222222,0.464259122186565,8.02865912136756,40.2877733686818,34.2594645277443,10.1860239615893,0
2,11.8,59,0.2,0.370529333333333,0.373310423217143,33.1305016029501,0,0,0,0
2,2.9,58,0.05,0.116964,0.109934441829515,27.0824912822069,0,0,0,0
